"id","total","created_at"
"85f15be7-2eb7-46ff-92a0-2c52bb0cdaec",32.82,"2021-01-06T08:29:21.535Z"
"4d601c83-1fa3-4c9e-8437-29ec4f16c721",356.2,"2021-11-07T20:39:50.868Z"
"03545cd5-d409-4df0-b551-1d7f7cbbe160",94.26,"2021-08-17T11:48:38.193Z"
"c823e836-5407-488d-8610-2ccfb9f4f9e3",75.65,"2020-03-28T22:08:15.867Z"
"f1c76954-20fe-4e98-a9d9-2b8feafefe7f",251.04,"2021-05-29T05:23:51.148Z"
"b6f20fff-abc1-4694-be04-c9a821aa818a",987.24,"2021-03-10T03:18:57.165Z"
"9c87de03-5d11-4844-b433-3f861ad76319",823.33,"2021-09-02T07:11:58.789Z"
"bded776c-2a06-493a-a632-89420a595c42",75.87,"2022-01-08T23:30:34.396Z"
"5e2cca5a-2eb0-4a8f-80ca-0da3d86693c6",453.39,"2020-04-08T00:18:52.040Z"
"9a8231db-89cb-467b-a8e2-cc9ba543998e",657.41,"2020-01-13T17:15:19.002Z"
"57ac0df7-34f0-4b40-aa04-8b73eafa9c66",674.2,"2020-07-06T04:38:55.319Z"
"6c808967-6ff8-4a29-b785-8f1d767af85d",98.01,"2020-11-13T17:39:10.902Z"
"aa07ed03-cc4b-48d6-9fef-685ec0301e72",990.97,"2021-09-02T02:19:16.606Z"
"297ba3fc-ff56-4b02-9363-87618b2b493a",127.22,"2020-01-19T03:53:38.445Z"
"be32e8c9-c2bc-4f16-8c09-8be51f909c5f",491.16,"2020-08-11T23:30:12.659Z"
"1ea4a69a-03f4-42f2-bc86-77a5a6fd8680",146.57,"2022-01-07T20:30:26.348Z"
"2f593753-6eb5-481f-9a15-b2c57954c84f",973.9,"2020-11-15T09:31:52.874Z"
"975e654d-ee54-47ac-9144-23b5311fba17",56.49,"2021-01-29T23:57:57.820Z"
"997aeee4-5582-4b37-b21e-6419da365bb3",530.85,"2020-03-19T13:01:44.194Z"
"b68f59a8-a09f-4c75-a311-e151bbfdf626",218.67,"2020-05-15T21:27:13.612Z"
"311ffa76-c425-462e-90f4-e7e3dec7445f",924.84,"2021-11-12T20:05:02.790Z"
"dce18d2e-d422-41a6-9291-bcc64f9900e2",132.5,"2020-12-27T18:28:30.434Z"
"de91d931-2eab-4b94-b536-4ed071bac7f5",413.56,"2021-03-31T20:05:12.566Z"
"0c8549b7-2a0d-4ab8-9129-c878360fad54",891.83,"2021-06-08T06:54:35.620Z"
"2fcefad5-fd3c-46b3-8a6c-c53cfb702c98",651.91,"2021-09-12T04:11:22.857Z"
"87f35bd0-77c4-43ae-a444-184808ff54ed",657.94,"2021-11-17T02:36:52.058Z"
"bbb0b75f-745a-4c9b-b1c5-663438d328a5",542.09,"2021-03-20T02:11:46.016Z"
"47d856f1-1b8c-4192-98fa-7f2009e606da",699.55,"2021-04-02T04:45:46.467Z"
"928eb347-0149-4de7-a91f-06e5be28d826",979.34,"2021-05-12T19:06:01.669Z"
"0178d61d-8485-440b-a4af-c9a8ab5d068f",259.01,"2020-06-13T21:06:24.586Z"
"7146120b-c0a3-4153-96c0-937a5b42876b",553.27,"2020-03-18T08:19:22.513Z"
"8584d041-c43d-4c82-9830-45b04dc9b1e1",152.06,"2021-03-31T20:30:30.871Z"
"c2b8ff1f-eee5-4b48-bd18-1197b2f53763",816.6,"2022-02-07T17:01:22.071Z"
"0e30f4a7-5307-42d3-a996-84334e8c32b2",333.49,"2021-06-20T21:52:55.384Z"
"a4ad1e48-8e23-42b1-a7e1-a9454ff822f1",446.25,"2021-12-03T08:57:55.987Z"
"c7ec0509-8d7a-4bdf-bdd2-2223a3a33f4f",566.71,"2020-06-12T15:50:13.803Z"
"4e5f822d-d97b-413f-af96-7f9b045830c6",860.97,"2021-07-16T10:55:49.669Z"
"28aed6b7-0046-4258-be5f-39f3d74d013a",255.68,"2021-08-23T06:40:14.641Z"
"4a2e0530-0309-43b8-9c0d-80817e7eae49",371.59,"2022-01-29T18:06:24.595Z"
"3bb8d731-ee19-4621-9bed-dcaac5c76658",555.35,"2022-01-29T11:18:15.066Z"
"897b05e1-cdbc-448e-8686-9a25f97c34b9",187.77,"2021-04-26T20:28:47.167Z"
"15730e25-35cc-43fb-9334-bac1e03cdb4d",755.81,"2021-09-13T00:42:21.529Z"
"1638f2c7-60e0-44cd-8402-249129859472",890.58,"2020-02-02T00:21:46.682Z"
"7c89654e-1caf-40a6-a239-ab1c3c44e959",237.42,"2020-05-01T08:04:01.455Z"
"2ec04027-095f-4b2e-b33c-e5c9a94e7d2b",861.24,"2020-07-05T20:28:13.802Z"
"3cfeb531-7d59-4018-b717-34fea5c18257",255.92,"2020-11-01T09:27:37.586Z"
"f04a05ba-db10-4424-82d7-dea4784ee640",793.3,"2021-01-07T00:56:59.898Z"
"a719d41b-1bbf-4a3b-ab5d-c85b10430d86",406.04,"2020-08-12T01:00:37.094Z"
"11da2f03-2422-4092-b652-55ac765b9936",549.2,"2020-11-11T18:16:41.424Z"
"bbabc999-0741-490f-aa92-94a5ec558174",671.29,"2021-10-20T08:37:51.829Z"
"c615c067-6a93-4be0-97aa-61ba1ea48ca1",322.76,"2021-08-09T01:33:36.917Z"
"be1ec9d9-d25f-4083-a715-3e6f3d7f27a5",495.27,"2020-03-14T14:22:18.628Z"
"e9ce12ab-8094-44fe-a66e-42e82a8dd9b8",396.94,"2022-01-19T19:30:52.636Z"
"2664d2f5-702e-4ac1-bf8e-1a5108baf270",22.2,"2021-04-17T00:32:13.027Z"
"9d3d9b57-eb56-4150-b17b-c188f8b1a59f",65.28,"2021-04-08T16:01:06.921Z"
"8d7a075a-fa7c-4c02-8ce2-5e554bbeb22a",307.79,"2021-08-06T23:30:31.049Z"
"0c91ed1d-360e-46bc-931d-03289ce5da8e",346.03,"2020-06-28T01:15:53.015Z"
"aca3ae2c-ac12-4940-8147-16f887536ee9",157.48,"2021-07-14T18:06:37.293Z"
